Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Operating System Version,Weight,Price
MSI,MSI_808,Student,"14.4""",OLED,Intel i5,16GB,1TB SSD,NVIDIA RTX 4060,Windows,Windows 5,2.02,663.02
Acer,Acer_325,Workstation,"14.3""",Retina,Intel i5,8GB,1TB SSD,Integrated,macOS,macOS 8,3.46,1233.14
HP,HP_214,Gaming,"14.2""",Retina,Intel i5,4GB,128GB SSD,Integrated,macOS,macOS 6,3.09,1175.71
Apple,Apple_765,Business,"16.9""",LED,AMD Ryzen 5,16GB,256GB SSD,AMD Radeon,macOS,macOS 4,2.25,870.26
Acer,Acer_477,Student,"13.9""",LED,AMD Ryzen 7,4GB,512GB SSD,Integrated,Linux,Linux 6,2.83,564.15
HP,HP_367,Workstation,"15.9""",OLED,Intel i5,4GB,128GB SSD,NVIDIA GTX 1650,Windows,Windows 12,2.93,1129.04
Acer,Acer_462,Gaming,"13.4""",Retina,Intel i7,8GB,1TB HDD,AMD Radeon,Linux,Linux 8,2.09,1002.08
Apple,Apple_212,Ultrabook,"14.3""",OLED,AMD Ryzen 7,8GB,1TB HDD,Integrated,macOS,macOS 4,2.35,1156.71
Dell,Dell_606,Workstation,"13.7""",IPS,Intel i5,8GB,1TB HDD,Integrated,Windows,Windows 8,2.82,1443.88
Dell,Dell_160,Ultrabook,"15.6""",IPS,Intel i7,16GB,256GB SSD,AMD Radeon,Linux,Linux 6,2.48,954.57
Lenovo,Lenovo_916,Workstation,"16.4""",IPS,Intel i3,16GB,1TB SSD,NVIDIA RTX 3050,Linux,Linux 5,2.9,1450.5
Asus,Asus_473,Gaming,"16.9""",Retina,Intel i7,8GB,128GB SSD,AMD Radeon,macOS,macOS 10,2.47,809.5
MSI,MSI_728,Gaming,"13.8""",Retina,Intel i5,16GB,1TB HDD,NVIDIA GTX 1650,Linux,Linux 4,3.11,1144.1
HP,HP_542,Business,"15.8""",LED,Intel i7,32GB,1TB SSD,AMD Radeon,macOS,macOS 3,2.74,1151.15
Apple,Apple_138,Gaming,"15.3""",LED,Intel i3,4GB,256GB SSD,Integrated,Windows,Windows 10,3.19,1021.08
HP,HP_410,Ultrabook,"16.7""",LED,Intel i7,16GB,1TB HDD,AMD Radeon,macOS,macOS 3,1.18,1619.54
Apple,Apple_338,Gaming,"16.3""",IPS,Intel i9,4GB,128GB SSD,Integrated,Linux,Linux 8,1.72,1069.93
Apple,Apple_245,Workstation,"13.2""",IPS,AMD Ryzen 5,8GB,128GB SSD,Integrated,Windows,Windows 8,1.31,1612.62
MSI,MSI_539,Ultrabook,"16.9""",LED,Intel i3,16GB,1TB SSD,NVIDIA RTX 4060,Linux,Linux 8,3.36,793.49
MSI,MSI_409,Workstation,"16.6""",LED,Intel i5,16GB,256GB SSD,Integrated,macOS,macOS 9,1.47,1372.52
Asus,Asus_153,Gaming,"15.2""",Retina,Intel i5,4GB,1TB HDD,NVIDIA RTX 3050,macOS,macOS 3,2.9,1437.8
Acer,Acer_244,Ultrabook,"16.5""",LED,AMD Ryzen 5,32GB,1TB HDD,Integrated,Windows,Windows 4,2.45,977.44
Dell,Dell_294,Gaming,"16.7""",LED,Intel i3,16GB,128GB SSD,AMD Radeon,Linux,Linux 11,1.7,1122.46
Apple,Apple_137,Ultrabook,"16.1""",LED,Intel i5,8GB,1TB HDD,NVIDIA RTX 4060,Windows,Windows 12,1.19,1096.72
Samsung,Samsung_417,Workstation,"16.9""",OLED,Intel i5,32GB,512GB SSD,AMD Radeon,Windows,Windows 1,3.2,1737.68
Lenovo,Lenovo_435,Student,"16.7""",OLED,Intel i3,4GB,512GB SSD,AMD Radeon,Windows,Windows 5,2.7,976.43
MSI,MSI_232,Ultrabook,"17.1""",IPS,Intel i7,16GB,256GB SSD,NVIDIA GTX 1650,Linux,Linux 5,2.86,1229.74
MSI,MSI_181,Student,"15.4""",IPS,AMD Ryzen 5,32GB,256GB SSD,AMD Radeon,macOS,macOS 11,3.45,428.03
Apple,Apple_547,Workstation,"16.4""",LED,Intel i7,8GB,256GB SSD,Integrated,macOS,macOS 12,2.58,1649.25
Acer,Acer_136,Workstation,"16.4""",Retina,Intel i9,8GB,1TB SSD,NVIDIA RTX 3050,Windows,Windows 12,1.17,1138.01
HP,HP_219,Ultrabook,"16.7""",LED,AMD Ryzen 5,32GB,1TB SSD,NVIDIA RTX 3050,Linux,Linux 4,2.9,1293.0
MSI,MSI_128,Ultrabook,"16.5""",OLED,Intel i7,16GB,256GB SSD,NVIDIA GTX 1650,macOS,macOS 2,3.49,810.4
MSI,MSI_370,Workstation,"16.0""",Retina,Intel i5,16GB,1TB SSD,NVIDIA RTX 3050,Linux,Linux 3,3.38,1060.24
Apple,Apple_539,Student,"16.1""",OLED,AMD Ryzen 5,16GB,1TB SSD,NVIDIA RTX 3050,Windows,Windows 5,3.46,879.58
MSI,MSI_261,Workstation,"13.9""",IPS,Intel i3,32GB,1TB SSD,NVIDIA GTX 1650,Linux,Linux 12,2.18,1458.69
Samsung,Samsung_159,Gaming,"16.7""",IPS,Intel i7,8GB,256GB SSD,NVIDIA RTX 4060,Linux,Linux 3,2.99,1302.77
HP,HP_998,Student,"16.4""",IPS,AMD Ryzen 7,8GB,128GB SSD,NVIDIA RTX 4060,Windows,Windows 6,1.56,648.64
Apple,Apple_930,Workstation,"14.2""",Retina,Intel i7,32GB,1TB HDD,Integrated,Windows,Windows 2,2.7,1565.7
Acer,Acer_643,Ultrabook,"16.0""",IPS,Intel i9,8GB,128GB SSD,NVIDIA RTX 3050,macOS,macOS 3,1.26,1085.54
Dell,Dell_687,Gaming,"15.5""",OLED,AMD Ryzen 7,8GB,1TB SSD,NVIDIA RTX 4060,Windows,Windows 10,2.94,1404.63
Acer,Acer_688,Student,"14.5""",OLED,Intel i5,8GB,256GB SSD,NVIDIA GTX 1650,macOS,macOS 2,1.1,718.32
Apple,Apple_404,Ultrabook,"13.5""",OLED,AMD Ryzen 7,4GB,128GB SSD,Integrated,macOS,macOS 12,3.18,1279.04
Acer,Acer_210,Ultrabook,"15.1""",OLED,Intel i9,32GB,1TB SSD,NVIDIA GTX 1650,macOS,macOS 10,2.2,1227.03
MSI,MSI_908,Student,"16.1""",OLED,Intel i5,8GB,1TB SSD,NVIDIA RTX 4060,Windows,Windows 9,3.18,493.68
MSI,MSI_408,Ultrabook,"13.7""",LED,Intel i5,16GB,1TB HDD,Integrated,Linux,Linux 3,1.2,994.14
Lenovo,Lenovo_134,Workstation,"13.3""",OLED,Intel i3,16GB,1TB SSD,Integrated,macOS,macOS 5,2.82,1403.36
Apple,Apple_831,Student,"16.3""",Retina,Intel i5,4GB,512GB SSD,Integrated,macOS,macOS 5,1.99,1014.8
Apple,Apple_677,Business,"16.4""",OLED,Intel i5,16GB,512GB SSD,NVIDIA GTX 1650,macOS,macOS 12,1.96,1149.27
Dell,Dell_966,Business,"16.1""",Retina,AMD Ryzen 7,16GB,256GB SSD,NVIDIA RTX 4060,macOS,macOS 2,1.45,874.64
Asus,Asus_652,Student,"14.7""",LED,Intel i3,32GB,256GB SSD,Integrated,Linux,Linux 9,3.42,861.46
MSI,MSI_548,Student,"13.6""",IPS,Intel i7,8GB,512GB SSD,NVIDIA GTX 1650,Windows,Windows 10,2.67,450.85
Dell,Dell_356,Workstation,"14.1""",OLED,Intel i9,4GB,128GB SSD,NVIDIA RTX 4060,Windows,Windows 11,2.84,1435.67
Dell,Dell_731,Student,"14.9""",OLED,AMD Ryzen 7,32GB,512GB SSD,AMD Radeon,macOS,macOS 2,1.31,1115.35
Asus,Asus_119,Business,"13.2""",OLED,Intel i7,8GB,1TB HDD,AMD Radeon,Linux,Linux 5,1.26,1243.15
Apple,Apple_792,Business,"17.2""",OLED,AMD Ryzen 7,8GB,128GB SSD,NVIDIA GTX 1650,Windows,Windows 9,2.45,1054.38
Samsung,Samsung_594,Ultrabook,"15.1""",Retina,AMD Ryzen 7,32GB,1TB HDD,NVIDIA RTX 4060,macOS,macOS 10,2.83,1021.12
MSI,MSI_875,Workstation,"14.9""",IPS,AMD Ryzen 7,16GB,256GB SSD,Integrated,Linux,Linux 7,3.36,1414.54
HP,HP_513,Business,"14.0""",LED,Intel i3,32GB,512GB SSD,Integrated,macOS,macOS 4,2.69,1027.75
Asus,Asus_403,Workstation,"15.5""",LED,Intel i9,8GB,256GB SSD,Integrated,Windows,Windows 9,3.48,1271.4
Asus,Asus_684,Workstation,"15.4""",IPS,Intel i7,32GB,256GB SSD,AMD Radeon,macOS,macOS 4,2.67,1619.48
Dell,Dell_378,Ultrabook,"16.7""",IPS,AMD Ryzen 7,8GB,128GB SSD,AMD Radeon,Linux,Linux 1,1.92,1240.23
MSI,MSI_242,Workstation,"14.6""",IPS,Intel i3,4GB,128GB SSD,Integrated,Linux,Linux 12,1.04,1262.3
Acer,Acer_941,Business,"15.0""",OLED,AMD Ryzen 5,8GB,256GB SSD,NVIDIA RTX 4060,Windows,Windows 10,1.27,962.42
Asus,Asus_403,Workstation,"14.1""",Retina,Intel i7,32GB,256GB SSD,NVIDIA RTX 4060,Linux,Linux 11,1.05,1651.79
Dell,Dell_903,Ultrabook,"14.6""",Retina,AMD Ryzen 5,4GB,512GB SSD,NVIDIA GTX 1650,macOS,macOS 4,1.64,1156.24
Apple,Apple_593,Ultrabook,"17.0""",Retina,Intel i7,32GB,256GB SSD,NVIDIA RTX 4060,macOS,macOS 2,2.0,888.27
Apple,Apple_685,Workstation,"13.8""",OLED,Intel i3,8GB,1TB HDD,NVIDIA GTX 1650,macOS,macOS 7,3.04,1512.63
Apple,Apple_475,Workstation,"15.7""",OLED,AMD Ryzen 5,16GB,1TB HDD,NVIDIA RTX 4060,Windows,Windows 10,1.53,1219.48
Asus,Asus_781,Gaming,"14.0""",IPS,Intel i9,8GB,512GB SSD,NVIDIA RTX 4060,Linux,Linux 10,3.02,1549.92
Lenovo,Lenovo_775,Business,"14.9""",LED,AMD Ryzen 5,16GB,128GB SSD,NVIDIA RTX 3050,macOS,macOS 1,1.54,1144.92
Samsung,Samsung_622,Business,"14.1""",IPS,AMD Ryzen 5,4GB,128GB SSD,NVIDIA GTX 1650,Linux,Linux 7,2.74,1224.68
Lenovo,Lenovo_653,Workstation,"16.1""",IPS,Intel i7,16GB,1TB SSD,NVIDIA RTX 3050,macOS,macOS 6,2.45,1424.17
Samsung,Samsung_840,Gaming,"15.6""",IPS,Intel i3,16GB,128GB SSD,NVIDIA RTX 4060,Windows,Windows 1,3.08,1159.28
Apple,Apple_616,Student,"14.0""",IPS,AMD Ryzen 7,32GB,256GB SSD,NVIDIA RTX 3050,macOS,macOS 12,1.81,945.53
MSI,MSI_271,Business,"14.6""",OLED,Intel i5,16GB,1TB SSD,NVIDIA RTX 4060,macOS,macOS 4,3.4,658.07
Asus,Asus_386,Gaming,"13.7""",LED,AMD Ryzen 7,8GB,128GB SSD,NVIDIA RTX 4060,Windows,Windows 12,3.45,732.89
MSI,MSI_447,Ultrabook,"13.7""",IPS,Intel i9,32GB,1TB SSD,Integrated,Windows,Windows 5,1.23,1000.14
Acer,Acer_555,Gaming,"15.6""",Retina,AMD Ryzen 7,32GB,256GB SSD,AMD Radeon,macOS,macOS 4,1.76,1042.8
Asus,Asus_869,Ultrabook,"14.0""",IPS,Intel i7,16GB,1TB SSD,NVIDIA GTX 1650,macOS,macOS 7,1.4,833.75
Acer,Acer_242,Student,"16.7""",LED,Intel i9,16GB,128GB SSD,NVIDIA GTX 1650,macOS,macOS 2,2.57,774.61
Acer,Acer_233,Ultrabook,"16.4""",Retina,AMD Ryzen 7,4GB,1TB HDD,NVIDIA RTX 3050,macOS,macOS 11,2.74,1500.39
HP,HP_305,Student,"15.5""",LED,Intel i3,8GB,128GB SSD,AMD Radeon,macOS,macOS 1,3.31,1192.98
Acer,Acer_337,Workstation,"14.4""",OLED,Intel i3,8GB,128GB SSD,AMD Radeon,Windows,Windows 2,1.17,1439.97
HP,HP_636,Student,"13.3""",Retina,Intel i9,4GB,1TB SSD,NVIDIA GTX 1650,Windows,Windows 12,3.13,368.71
MSI,MSI_616,Ultrabook,"13.8""",IPS,Intel i5,8GB,512GB SSD,NVIDIA GTX 1650,Windows,Windows 8,1.74,1351.29
MSI,MSI_182,Gaming,"13.6""",IPS,Intel i9,8GB,512GB SSD,NVIDIA RTX 4060,Windows,Windows 4,2.58,1053.4
Apple,Apple_919,Workstation,"15.7""",Retina,AMD Ryzen 7,16GB,256GB SSD,AMD Radeon,Linux,Linux 3,1.92,1351.34
Apple,Apple_625,Workstation,"14.7""",IPS,AMD Ryzen 7,16GB,256GB SSD,NVIDIA RTX 3050,Windows,Windows 6,2.98,1849.85
Samsung,Samsung_522,Workstation,"13.9""",IPS,Intel i5,8GB,1TB HDD,AMD Radeon,Windows,Windows 2,1.16,1658.8
Samsung,Samsung_263,Gaming,"13.5""",Retina,Intel i7,16GB,1TB HDD,NVIDIA RTX 4060,Linux,Linux 5,2.22,1111.34
Apple,Apple_693,Ultrabook,"14.6""",Retina,AMD Ryzen 5,8GB,256GB SSD,AMD Radeon,macOS,macOS 1,3.39,923.04
Dell,Dell_219,Gaming,"17.1""",LED,Intel i9,32GB,1TB HDD,Integrated,macOS,macOS 2,1.1,1182.33
Lenovo,Lenovo_858,Business,"14.7""",LED,Intel i3,16GB,128GB SSD,NVIDIA RTX 4060,Linux,Linux 8,3.21,1084.27
Asus,Asus_515,Student,"15.2""",IPS,AMD Ryzen 5,32GB,128GB SSD,NVIDIA RTX 3050,Windows,Windows 3,1.18,539.5
Acer,Acer_327,Ultrabook,"17.2""",OLED,Intel i7,32GB,512GB SSD,NVIDIA RTX 3050,macOS,macOS 5,2.37,1359.76
Acer,Acer_451,Business,"13.1""",Retina,Intel i9,4GB,128GB SSD,Integrated,macOS,macOS 2,1.03,727.72
Dell,Dell_268,Gaming,"15.3""",LED,Intel i5,8GB,1TB HDD,NVIDIA RTX 4060,Linux,Linux 8,1.28,1023.91
Asus,Asus_792,Student,"13.7""",LED,Intel i3,32GB,256GB SSD,Integrated,Windows,Windows 8,2.08,1111.24
Acer,Acer_513,Student,"13.5""",Retina,Intel i7,8GB,128GB SSD,AMD Radeon,Linux,Linux 10,3.04,479.36
MSI,MSI_138,Gaming,"14.1""",OLED,Intel i5,4GB,1TB HDD,AMD Radeon,macOS,macOS 8,2.87,941.29
